,id,url,tag,food,title,des,ing,img_src,token
0,6912734,https://www.10000recipe.com/recipe/6912734,"전체,전체,전체,볶음",새송이버섯구이,버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,"
                지금까지 이런 버섯은 없었다. 이것은 관자인가 버섯인가                ","

[재료]

새송이버섯                                                        
2개



버터                                                        
30g



어린잎채소                                                        





[소스재료]

간장                                                        
1T



맛술                                                        
1T



올리고당                                                        
1/2T



",https://recipe1.ezmember.co.kr/cache/recipe/2019/05/25/39ac1e73e998e88da300d38663242f0a1.jpg,"['버섯', '관자', '방법', '송이버섯', '간장', '버터', '구이', '잎채소', '소스', '맛술', '올리고당']"
1,6878340,https://www.10000recipe.com/recipe/6878340,"전체,전체,전체,부침",단짠대패덮밥,단짠단짠의 대패덮밥,"
                뜨끈한 밥에 대패삼겹살 한점!
집밥백선생 강추레시피! 간단하고 빠르게 만드는 별미메뉴!
입맛없을때 만들먹으면 밥두공기도 거뜬해요.                ","

[재료]

대패 삼겹살                                                        
400g



대파                                                        
2뿌리



설탕                                                        
2스푼



맛간장(OR진간장)                                                        
4스푼



",https://recipe1.ezmember.co.kr/cache/recipe/2017/10/22/3211f299a02729bc2d05649ceec734771.jpg,"['밥', '대패', '삼겹살', '점', '집', '백', '선생', '강추', '별미', '메뉴', '입맛', '공기', '덮밥', '대파', '뿌리', '설탕', '스푼', '맛', '간장', '진간장']"
2,6922700,https://www.10000recipe.com/recipe/6922700,"전체,전체,전체,조림",부추전,새우 부추전ㅣ집들이용으로도 손색 없는!,"
                통통한 새우의 식감이 살아있는 부추전!                ","

[재료]

칵테일 새우                                                        
20마리



부추                                                        
1/5단



부침가루                                                        
5큰술



청양고추                                                        
2~3개



물                                                        
1/2종이컵




[양념]

소금                                                        
1/2작은술



",https://recipe1.ezmember.co.kr/cache/recipe/2019/12/07/de9763ea2f67bde8eee04321f23b3f421.jpg,"['새우', '식감', '부추', '전', '집들이', '손색', '칵테일', '마리', '단', '부침', '가루', '술', '청양', '고추', '물', '종이컵', '소금']"
3,6940325,https://www.10000recipe.com/recipe/6940325,"전체,전체,전체,무침",닭봉조림,닭봉간장조림~ 십년째 만들어 먹는 양념 공유해요!,"
                초간단 조리과정과 집에 있는 착한 양념에 비해 
미친 비주얼을 자랑하는 닭봉조림~ 언제 어디에서 누구에게 해줘도 인기만점 레시피예요

?                ","

[재료]

닭봉                                                        
20개



우유                                                        
적당히



대파                                                        
1/2대



소주                                                        
1/2컵




[양념(밥숟가락 계량)]

간장                                                        
5숟가락



설탕                                                        
2숟가락



식초                                                        
2숟가락



청주                                                        
2숟가락



케첩                                                        
1숟가락



물엿                                                        
1숟가락



",https://recipe1.ezmember.co.kr/cache/recipe/2020/08/28/c37e0db0e0386d453eda2be45e26b9c01.jpg,"['조리', '과정', '집', '비주얼', '자랑', '닭', '봉', '조림', '어디', '누구', '인기', '만점', '간', '장조림', '십', '공유', '우유', '대파', '대', '소주', '컵', '밥숟가락', '계량', '간장', '설탕', '식초', '청주', '케첩', '물엿']"
4,4030952,https://www.10000recipe.com/recipe/4030952,"전체,전체,전체,찜",고추된장박이,아삭아삭한 고추된장박이,"
                아삭아삭 밥도둑 고추된장박이 만드는법                ","

[재료]

풋고추                                                        
10개




[양념]

된장                                                        
2T



다진 마늘                                                        
1/3T



송송썰은 대파                                                        
1T



참기름                                                        
1/2T



통깨                                                        
1/2T



매실원액                                                        
1T



설탕                                                        
1/3T



",https://recipe1.ezmember.co.kr/cache/recipe/2015/04/22/a673e92121f268ea47ea5212bcbde4891.jpg,"['밥도둑', '고추', '장박', '된장', '마늘', '대파', '참기름', '통깨', '매실', '원액', '설탕']"
5,6881099,https://www.10000recipe.com/recipe/6881099,"전체,전체,전체,삶기",차돌박이찜,완전맛있는 차돌박이찜! 미소된장마요소스도 함께~,"
                손님상차림으로도 좋은 차돌박이찜 입니다
만들기도 너무쉽고 모양도 예뻐서 추천하는 메뉴에요
미소된장마요소스를 찍어먹으니 한층 맛이 더 업그레이드!! 
정말 강력추천하는 메뉴랍니다                ","

[재료]

차돌박이                                                        
10장



깻잎                                                        
5장



팽이버섯                                                        
1묶음



숙주나물                                                        
1주먹




[미소된장마요소스]

미소된장                                                        
1큰숟갈



마요네즈                                                        
1숟갈



올리고당                                                        
1숟갈



다진마늘                                                        
0.5숟갈



고춧가루                                                        
0.3숟갈



청양고추                                                        
1개다진것



물                                                        
2숟갈



",https://recipe1.ezmember.co.kr/cache/recipe/2017/12/18/58dd1a9a0d0ef8ff0c60dc35965ea09d1.jpg,"['손님', '상차림', '차돌박이', '찜', '모양', '추천', '메뉴', '미소', '장마', '소스', '맛', '업그레이드', '장', '깻잎', '팽이버섯', '묶음', '숙주나물', '주먹', '된장', '숟갈', '마요네즈', '올리고당', '마늘', '고춧가루', '청양', '고추', '것', '물']"
6,6953539,https://www.10000recipe.com/recipe/6953539,"전체,전체,전체,굽기", 달걀버거,"빵 대신 에그번 ♥ 햄버거로 다이어트 가능한 "" 달걀버거 "" 만들기","
                탱글탱글한 달걀로 뚜껑을 덮은 달걀버거! 
급찐살로 식단을 조절해야 된다면?! 
탄수화물을 줄인 에그버거로 시작하세요 :) 
귀여워서 다이어트도시락으로 싸도 bb

세상의모든레시피 만개의레시피                 ","

[재료]

달걀                                                        
6개



슬라이스햄                                                        
6장



슬라이스치즈                                                        
1장



샐러드채소                                                        
1/2줌



방울토마토                                                        
3개



소금                                                        
1/2숟가락



식초                                                        
1숟가락



스리라차소스                                                        




",https://recipe1.ezmember.co.kr/cache/recipe/2021/02/16/61153bf7816901787cdb5558a3d8e1801.jpg,"['달걀', '뚜껑', '버거', '급', '살', '식단', '조절', '탄수화물', '시작', '다이어트', '도시락', '빵', '대신', '번', '햄버거', '가능', '슬라이스', '햄', '장', '치즈', '샐러드', '채소', '줌', '방울토마토', '소금', '식초', '스리', '차', '소스']"
7,6966065,https://www.10000recipe.com/recipe/6966065,"전체,전체,소고기,볶음",우삼겹 덮밥 규동,정말 맛있는 우삼겹 덮밥 규동 레시피! 간단한 한끼로 딱입니다.,"
                오늘도 역시나 누구나 쉽고 간편하게 만들 수 있는 레시피를
준비해봤어요!! 바로 이번에는 우삼겹덮밥!!
달콤짭짤한 간장양념에 우삼겹을 맛있게 볶아만 주세요!!
덮밥으로도 좋고 반찬으로도 좋아요!
꼭 따라해보세요~                ","

[재료]
우삼겹                                                        250g


양파                                                        
1/4개




[양념]

설탕                                                        
1큰술



맛술                                                        
1큰술



올리고당                                                        
1큰술



간장                                                        
2큰술



다진마늘                                                        
1큰술



",https://recipe1.ezmember.co.kr/cache/recipe/2021/09/23/e541a46779db0cb8c385cfc98b488af91.jpg,"['나', '누구', '준비', '우', '삼', '겹', '덮밥', '간장', '반찬', '규동', '끼', '양파', '설탕', '술', '맛술', '올리고당', '마늘']"
8,5908102,https://www.10000recipe.com/recipe/5908102,"전체,전체,소고기,조림",소고기말이,봄 소풍 도시락으로 좋은 야채 소고기말이,"
                봄 소풍에 도시락으로 딱 좋은 ! 야채 소고기 말이 >.<                ","

[재료]

소고기(불고기용)                                                        




허브솔트                                                        




피망                                                        




쪽파                                                        




무순                                                        




팽이버섯                                                        





[양념]

물                                                        
1T



간장                                                        
3T



올리고당                                                        
2T



설탕                                                        
1T



미림                                                        
2T



",https://recipe1.ezmember.co.kr/cache/recipe/2015/04/10/bcfccb43017bf8045a68a6a7212718a41.jpg,"['봄', '소풍', '도시락', '야채', '소고기', '말', '불고기', '허브', '솔트', '피망', '쪽파', '무순', '팽이버섯', '물', '간장', '올리고당', '설탕', '미림']"
9,6828936,https://www.10000recipe.com/recipe/6828936,"전체,전체,소고기,무침",소고기감자조림,소고기 감자조림 일본가정식,"
                요즘 햇감자가 한창 많이 나오는데요, 저희 친정집은 좀 더 있다가 감자를 캐기 때문에 옆지기 아는 지인분을 통해서 파실한 감자 한박스를 주문했다지요. 제철감자가 나오면 일본가정식 소고기 감자조림인 니쿠자가를 꼭 한번이상은 해서 먹는답니다. 니쿠가 고기와 감자를 뜻하는 말로 소고기와 감자나 야채를 넣고 간장에 조려낸 반찬을 니쿠자가라고 하는데요, 짭조름 하면서 감칠맛이 좋은 찬이 된답니다. 그럼 소고기감자조림 맛나게 올려볼께요.                ","

[재료]

소고기 불고기용                                                        
300g



감자                                                        
4개



청고추                                                        
2개



홍고추                                                        
2개



물                                                        
1머그컵



간장                                                        
3큰술



올리고당                                                        
2큰술



참기름                                                        
1큰술



통깨                                                        
1큰술




[양념]

물                                                        
1머그컵



간장                                                        
3큰술



올리고당                                                        
2큰술



참기름                                                        
1큰술



통깨                                                        
1큰술




[고기밑간]

청주                                                        
2큰술



후추                                                        
약간



",https://recipe1.ezmember.co.kr/cache/recipe/2015/06/14/98b8f0163f780dd393caa9165618e2771.jpg,"['요즘', '햇감자', '저희', '친정집', '감자', '때문', '옆', '지기', '지인', '박스', '주문', '제철', '일본', '정식', '소고기', '감자조림', '니쿠자가', '이상', '니쿠', '고기', '뜻', '말', '야채', '간장', '반찬', '감칠맛', '찬', '불고기', '청', '고추', '홍고추', '물', '머그', '컵', '술', '올리고당', '참기름', '통깨', '밑간', '청주', '후추', '약간']"
10,6841304,https://www.10000recipe.com/recipe/6841304,"전체,전체,소고기,찜",참나물샐러드,"차돌박이 참나물 샐러드 , 쉽고 간단하지만 폼나고 맛있다.","
                너무나 쉽고 간단하게 완성되는 차돌박이 참나물 샐러드 
만드는 과정에 비해 모양새나 맛이 좋아 언제 만들어도 인기만점인 레시피 :)                ","

[재료]

참나물                                                        
400g



차돌박이                                                        
300g




[양념]

다진마늘                                                        
1스푼



참기름                                                        
2스푼



간장                                                        
2스푼



멸치액젓                                                        
1.5스푼



식초                                                        
2스푼



고춧가루                                                        
1스푼



설탕                                                        
1스푼



깨                                                        
약간



",https://recipe1.ezmember.co.kr/cache/recipe/2016/01/08/6938ccddcb10feed15101404681889c01.jpg,"['완성', '차돌박이', '참나물', '샐러드', '과정', '모양새', '맛', '인기', '만점', '폼', '마늘', '스푼', '참기름', '간장', '멸치', '액젓', '식초', '고춧가루', '설탕', '깨', '약간']"
