id,url,tag,title,des,ing,img_src
6912734, https://www.10000recipe.com/recipe/6912734,"전체,전체,전체,볶음",버섯으로 관자 느낌 내는 방법! 새송이버섯간장버터구이 만들기,"
                지금까지 이런 버섯은 없었다. 이것은 관자인가 버섯인가                ","

[재료]

새송이버섯                                                        
2개



버터                                                        
30g



어린잎채소                                                        





[소스재료]

간장                                                        
1T



맛술                                                        
1T



올리고당                                                        
1/2T



",https://recipe1.ezmember.co.kr/cache/recipe/2019/05/25/39ac1e73e998e88da300d38663242f0a1.jpg
6966065, https://www.10000recipe.com/recipe/6966065,"전체,전체,전체,끓이기",정말 맛있는 우삼겹 덮밥 규동 레시피! 간단한 한끼로 딱입니다.,"
                오늘도 역시나 누구나 쉽고 간편하게 만들 수 있는 레시피를
준비해봤어요!! 바로 이번에는 우삼겹덮밥!!
달콤짭짤한 간장양념에 우삼겹을 맛있게 볶아만 주세요!!
덮밥으로도 좋고 반찬으로도 좋아요!
꼭 따라해보세요~                ","

[재료]
우삼겹                                                        250g


양파                                                        
1/4개




[양념]

설탕                                                        
1큰술



맛술                                                        
1큰술



올리고당                                                        
1큰술



간장                                                        
2큰술



다진마늘                                                        
1큰술



",https://recipe1.ezmember.co.kr/cache/recipe/2021/09/23/e541a46779db0cb8c385cfc98b488af91.jpg
6933760, https://www.10000recipe.com/recipe/6933760,"전체,전체,전체,부침",♥[신혼밥상] 팽이버섯 덮밥,"
                10분 레시피!
1,000원의 행복!
간단한데 맛까지 있음 100점 ^---^
한그릇 팽이버섯 덮밥 함께해요~                ","

[재료]

팽이버섯                                                        
1봉



대파                                                        
1줌



양파                                                        
1/2개



달걀                                                        
1개



참기름                                                        
약간



통깨                                                        
적당히




[소스]

간장                                                        
2숟가락



굴소스                                                        
0.5숟가락



설탕                                                        
0.5숟가락



맛술                                                        
2숟가락



물                                                        
3큰술



",https://recipe1.ezmember.co.kr/cache/recipe/2020/06/03/4f573fef12f96ef7576c9d0f9603e1b51.jpg
6922700, https://www.10000recipe.com/recipe/6922700,"전체,전체,전체,조림",새우 부추전ㅣ집들이용으로도 손색 없는!,"
                통통한 새우의 식감이 살아있는 부추전!                ","

[재료]

칵테일 새우                                                        
20마리



부추                                                        
1/5단



부침가루                                                        
5큰술



청양고추                                                        
2~3개



물                                                        
1/2종이컵




[양념]

소금                                                        
1/2작은술



",https://recipe1.ezmember.co.kr/cache/recipe/2019/12/07/de9763ea2f67bde8eee04321f23b3f421.jpg
6940325, https://www.10000recipe.com/recipe/6940325,"전체,전체,소고기,전체",닭봉간장조림~ 십년째 만들어 먹는 양념 공유해요!,"
                초간단 조리과정과 집에 있는 착한 양념에 비해 
미친 비주얼을 자랑하는 닭봉조림~ 언제 어디에서 누구에게 해줘도 인기만점 레시피예요

​                ","

[재료]

닭봉                                                        
20개



우유                                                        
적당히



대파                                                        
1/2대



소주                                                        
1/2컵




[양념(밥숟가락 계량)]

간장                                                        
5숟가락



설탕                                                        
2숟가락



식초                                                        
2숟가락



청주                                                        
2숟가락



케첩                                                        
1숟가락



물엿                                                        
1숟가락



",https://recipe1.ezmember.co.kr/cache/recipe/2020/08/28/c37e0db0e0386d453eda2be45e26b9c01.jpg
6904538, https://www.10000recipe.com/recipe/6904538,"전체,전체,소고기,부침",동글동글 귀엽고 맛있는 고기말이 주먹밥 만들기,"
                동글동글 짭쪼름한 고기말이 주먹밥을 만들어보았어요~!!♡♡♡
찬밥을 활용해서 멋스러운 주먹밥이 탄생했답니다
모양도 이쁜데 맛까지 좋아서 한끼 식사로도 추천드리고 피크닉 도시락 메뉴로도 추천드릴게용~!!♡♡♡ 동글동글 귀엽고 멋스러운 고기말이주먹밥 다함께 만들어보세요~!!♡♡♡                ","

[재료]

소고기 술라이스 (불고깃감)                                                        
5장



밥                                                        
1/2공기



부추                                                        
20g



배추김치                                                        
1줌



식용유                                                        
2큰술




[밥양념]

참기름                                                        
1큰술



통깨                                                        
1/2큰술




[고기 양념]

간장                                                        
1큰술



물                                                        
3큰술



설탕                                                        
1/2큰술



참기름                                                        
1큰술



",https://recipe1.ezmember.co.kr/cache/recipe/2019/01/16/0fe245596ce04633e5a2af5de640e6b11.jpg
5908102, https://www.10000recipe.com/recipe/5908102,"전체,전체,소고기,조림",봄 소풍 도시락으로 좋은 야채 소고기말이,"
                봄 소풍에 도시락으로 딱 좋은 ! 야채 소고기 말이 >.<                ","

[재료]

소고기(불고기용)                                                        




허브솔트                                                        




피망                                                        




쪽파                                                        




무순                                                        




팽이버섯                                                        





[양념]

물                                                        
1T



간장                                                        
3T



올리고당                                                        
2T



설탕                                                        
1T



미림                                                        
2T



",https://recipe1.ezmember.co.kr/cache/recipe/2015/04/10/bcfccb43017bf8045a68a6a7212718a41.jpg
6828936, https://www.10000recipe.com/recipe/6828936,"전체,전체,돼지고기,전체",소고기 감자조림 일본가정식,"
                요즘 햇감자가 한창 많이 나오는데요, 저희 친정집은 좀 더 있다가 감자를 캐기 때문에 옆지기 아는 지인분을 통해서 파실한 감자 한박스를 주문했다지요. 제철감자가 나오면 일본가정식 소고기 감자조림인 니쿠자가를 꼭 한번이상은 해서 먹는답니다. 니쿠가 고기와 감자를 뜻하는 말로 소고기와 감자나 야채를 넣고 간장에 조려낸 반찬을 니쿠자가라고 하는데요, 짭조름 하면서 감칠맛이 좋은 찬이 된답니다. 그럼 소고기감자조림 맛나게 올려볼께요.                ","

[재료]

소고기 불고기용                                                        
300g



감자                                                        
4개



청고추                                                        
2개



홍고추                                                        
2개



물                                                        
1머그컵



간장                                                        
3큰술



올리고당                                                        
2큰술



참기름                                                        
1큰술



통깨                                                        
1큰술




[양념]

물                                                        
1머그컵



간장                                                        
3큰술



올리고당                                                        
2큰술



참기름                                                        
1큰술



통깨                                                        
1큰술




[고기밑간]

청주                                                        
2큰술



후추                                                        
약간



",https://recipe1.ezmember.co.kr/cache/recipe/2015/06/14/98b8f0163f780dd393caa9165618e2771.jpg
6878340, https://www.10000recipe.com/recipe/6878340,"전체,전체,돼지고기,볶음",단짠단짠의 대패덮밥,"
                뜨끈한 밥에 대패삼겹살 한점!
집밥백선생 강추레시피! 간단하고 빠르게 만드는 별미메뉴!
입맛없을때 만들먹으면 밥두공기도 거뜬해요.                ","

[재료]

대패 삼겹살                                                        
400g



대파                                                        
2뿌리



설탕                                                        
2스푼



맛간장(OR진간장)                                                        
4스푼



",https://recipe1.ezmember.co.kr/cache/recipe/2017/10/22/3211f299a02729bc2d05649ceec734771.jpg
6919305, https://www.10000recipe.com/recipe/6919305,"전체,전체,돼지고기,부침",든든한 혼밥 돈까스김치나베,"
                누구나 즐겨 먹는 돈까스
점심 단골 메뉴이자 
혼밥하기 딱 좋은 메뉴
간단 든든 한끼식사 돈까스김치나베                 ","

[재료]

돈까스                                                        
1장



김치                                                        
1컵



김치국물                                                        
1/2컵



고춧가루                                                        
1스푼



다진마늘                                                        
1/2스푼



국간장                                                        
1.5~2스푼



설탕                                                        
1~1.5스푼



맛술                                                        
1스푼



달걀                                                        
1~2개



물                                                        
1/2컵



",https://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/e89c82b5021b89a91b3c37396ccbdd5c1.jpg
